Event ID,Date,Organizer Name,Organizer Logo,Event Name,Venue,Talk Name,Learning Level,Talk Length in Minutes,Audience Size,Slide Link,Speaker Pubmat/Relevant Picture,Talk Video,Showcase Image
3,4/20/2024,FEU Tech ACM Student Chapter,Organizer_Images/FEU Tech ACM Student Chapter.Logo.123133.jpg,Into the Code: F++ 4.0 Day 1,FEU Institute of Technology,Initiatives at FEU Tech ACM,Foundational - 100,30,100,https://canva.link/li1n46tgkzq1dts,https://www.facebook.com/share/1EnCdxNHhP/,,Talks_Images/04-20-2024FEU Tech ACM Student Chap_5026084470121804355.Showcase Image.112806.jpg
4,4/22/2024,FEU Tech ACM Student Chapter,Organizer_Images/FEU Tech ACM Student Chapter.Logo.123133.jpg,Into the Code: F++ 4.0 Outreach,Valenzuela National High School,The Filipino Dream in Tech,Foundational - 100,60,50,https://canva.link/jlddd6drrq04txy,https://www.facebook.com/share/1GiFF5Kdgy/,,Talks_Images/04-22-2024FEU Tech ACM Student Chap_16733962307649019443.Showcase Image.112753.jpg
5,1/7/2025,FEU Tech ACM Student Chapter,Organizer_Images/FEU Tech ACM Student Chapter.Logo.123133.jpg,BEYOND THE CODE: Concept-to-Code 2025 Part 1,FEU Institute of Technology,Demonstrating Websites & Internal Data Handling,Intermediate - 200,60,20,https://www.canva.com/design/DAGbBFeOF8Y/rqAdKRR_ScEbVmp6HJzOJQ/view,,,Talks_Images/01-07-2025FEU Tech ACM Student Chap_7818794588794499844.Showcase Image.101214.jpg
6,1/24/2025,FEU Tech ACM Student Chapter,Organizer_Images/FEU Tech ACM Student Chapter.Logo.123133.jpg,Revival X: Git Grimoire,FEU Institute of Technology,GitHub Foundations Certification Workshop,Foundational - 100,120,30,https://canva.link/wtoc4acu4njgzec,https://www.facebook.com/share/16HLbYzLR1/,,Talks_Images/01-24-2025FEU Tech ACM Student Chap_3528274140793299330.Showcase Image.105351.jpg
7,2/26/2025,Polytechnic University of the Philippines,Organizer_Images/Polytechnic University of the Philippines.Logo.123346.png,Get Ready to Git Started with GitHub,Online,Git Started with GitHub: Foundational Dev Workshop,Foundational - 100,120,100,https://canva.link/w8k1kgrfs8agetg,https://www.facebook.com/share/17aerMPHWE/,,Talks_Images/02-26-2025Polytechnic University of_10781348657502448681.Showcase Image.111935.jpg
8,5/6/2025,Polytechnic University of the Philippines,Organizer_Images/Polytechnic University of the Philippines.Logo.123346.png,7th Software Engineering Day,Online,Practical GitHub: Advanced Use Cases for Personal & Industry Projects,Intermediate - 200,120,150,https://www.canva.com/design/DAGfkJiDlTU/-5yJxltDAmR2lSMGxLgtTg/view,,,Talks_Images/05-06-2025Polytechnic University of_15462960844588741007.Showcase Image.111039.jpg
9,6/13/2025,FEU Tech ACM Student Chapter,Organizer_Images/FEU Tech ACM Student Chapter.Logo.123133.jpg,BEYOND THE CODE: Concept-to-Code 2025 Part 3,FEU Institute of Technology,"Secure, Maintain, and Manage: Digital Essentials for Virlanie Foundation",Foundational - 100,30,20,https://www.canva.com/design/DAGqHG1iTqc/47m0L7mWC7q24rOU5kQzeQ/view,,,Talks_Images/06-13-2025FEU Tech ACM Student Chap_5408779882406251390.Showcase Image.104022.jpg
10,7/14/2025,Data Engineering Pilipinas,Organizer_Images/Data Engineering Pilipinas.Logo.123413.png,"Foundations of Multimodal AI: Fusions, Architectures, & Beyond",Online,"Foundations of Multimodal AI: Fusions, Architectures, & Beyond",Advanced - 300,120,40,https://canva.link/xizo4e6f5xoupz8,,,Talks_Images/07-14-2025Data Engineering Pilipina_5434147516566196633.Showcase Image.112457.jpg
11,10/13/2025,GDG Cloud Manila,Organizer_Images/GDG Cloud Manila.Logo.123507.jpg,Devfest 2025,LaunchGarage,Boost ML Research with TPU Research Cloud,Intermediate - 200,15,120,Coma: Boost ML Research with TPU Research Cloud,,,Talks_Images/10-13-2025GDG Cloud ManilaBoost ML _11073497539513582988.Showcase Image.103150.jpg
12,10/17/2025,SOFTCON 2025,Organizer_Images/SOFTCON 2025.Logo.123821.png,SOFTCON 2025,Online,Supercharge your ML Research with Google's TPU Research Cloud,Advanced - 300,30,120,Coma: Supercharge your ML Research with Google’s TPU Research Cloud,,,Talks_Images/10-17-2025SOFTCON 2025Supercharge y_16864303426137907348.Showcase Image.102522.jpg
13,10/30/2025,PSITE DFCAMCLP-Chapter,Organizer_Images/PSITE DFCAMCLP-Chapter.Logo.124013.jpg,Hacktoberfest 2025,National University Las Piñas,"Open Source Series: Licensing, Version Control, Contributing, and Beyond",Intermediate - 200,120,100,https://canva.link/ivpddpq03cmqn2u,,,Talks_Images/10-30-2025PSITE DFCAMCLP-ChapterOpe_8352752094161914696.Showcase Image.102904.jpg
14,11/5/2025,FEU Tech ACM Student Chapter,Organizer_Images/FEU Tech ACM Student Chapter.Logo.123133.jpg,DEPLOY():,Online,"Internship Employability Session: Resume, LinkedIn, GitHub, and Beyond",Foundational - 100,60,40,https://www.canva.com/design/DAG3vgFTIRw/lX11R-l5WCG5HWNGph9WKA/view,,,Talks_Images/11-05-2025FEU Tech ACM Student Chap_9392533664139360496.Showcase Image.102724.jpg
15,11/6/2025,Google Developer Group on Campus - TUP Manila,Organizer_Images/Google Developer Group on Campus - TUP Manila.Logo.123951.jpg,InSession 2025,TUP – Manila,G-Trends: A Developer's Guide to Google's Next-Gen Toolkit,Intermediate - 200,30,100,G-trends Powering the Next Tech Era,,,Talks_Images/11-06-2025Google Developer Group on_10342726316517385253.Showcase Image.102328.jpg
16,11/14/2025,Microsoft Azure Community,Organizer_Images/Microsoft Azure Community w- GitHub_17834042352919411365.Logo.123911.jpg,az:Repo: The Code and Cloud Agentic Workshop,Microsoft Office Philippines,GitHub Universe'25 Recap: AI Edition,Intermediate - 200,30,100,GitHub Universe Philippines 2025,,,Talks_Images/11-14-2025Microsoft Azure Community_12223863287486921838.Showcase Image.102219.jpg
17,11/21/2025,OpenVerse,Organizer_Images/11.Logo.051944.png,Philippine Innovation Conference 2025,University of Batangas,Product Building with AI Workshop,Advanced - 300,100,700,Product Building with AI Workshop,,,Talks_Images/11-21-2025OpenVerseProduct Building_8391563649744354992.Showcase Image.102039.jpg
18,10/24/2025,Association of Computer Science Students - PNC,Organizer_Images/Association of Computer Science Stu_6923140377518515014.Logo.050939.jpg,Let's Git Ready: From Commit to Career,Online,Let's Git Ready: From Commit to Career,Foundational - 100,120,100,Git & GitHub Foundations Workshop,,,Talks_Images/10-24-2025Association of Computer S_14109257658995089418.Showcase Image.111307.jpg
19,1/8/2026,FEU Tech ACM Student Chapter,Organizer_Images/FEU Tech ACM Student Chapter.Logo.123133.jpg,Ctrl + Prompt,FEU Institute of Technology,Online Safety in the Age of AI,Foundational - 100,60,20,Online Safety in the Age of AI,,,Talks_Images/01-08-2026FEU Tech ACM Student Chap_1995798836272079426.Showcase Image.113033.jpg
20,4/7/2026,Linux Foundation,Organizer_Images/Linux Foundation.Logo.094604.jpg,PyTorch Conference Europe 2026,"Station F, France",De-mystifying PyTorch for ASICs: When (and Why) To Move Your Development To AI Accelerators,Intermediate - 200,30,100,De-mystifying PyTorch for ASICS,,,Talks_Images/04-07-2026Linux FoundationDe-mystif_1311864549383074480.Showcase Image.143945.jpg
21,4/10/2026,FEU Institute of Technology,Organizer_Images/FEU Institute of Technology.Logo.095828.png,EDiTH Episode 9,FEU Institute of Technology,Frontiers of Modern AI: Multimodality & Accelerated Computing,Intermediate - 200,120,100,Community: De-mystifying PyTorch for ASICs,,,Talks_Images/04-10-2026FEU Institute of Technolo_744939413198642037.Showcase Image.143628.jpg
22,3/5/2026,JBECP - JRU Chapter,Organizer_Images/JBECP - JRU Chapter.Logo.094857.jpg,Git and GitHub workshop,Jose Rizal University,Git and GitHub workshop,Foundational - 100,180,50,Git & GitHub Foundations Workshop,,,Talks_Images/03-05-2026JBECP - JRU ChapterGit an_8229133128241184411.Showcase Image.144909.jpg
24,6/20/2026,AWS Cloud Clubs Philippines,Organizer_Images/AWS Cloud Clubs Philippines.Logo.143119.jpg,AWS Community Day Philippines 2026,AWS Office Philippines,From Zero to Trainium: Building Your First Model on AWS's Native PyTorch Stack,Intermediate - 200,10,50,,,,Talks_Images/03-05-2026JBECP - JRU ChapterGit an_8229133128241184411.Showcase Image.114250.png
25,5/2/2026,Microsoft Student Community NU Laguna,Organizer_Images/Microsoft Student Community NU Laguna.Logo.143154.jpg,Sparkpoint 2026,National University Laguna,Introduction to GitHub Copilot and AI Development,Foundational - 100,30,50,Code with Copilot: Expert Demo + Q&A,,,Talks_Images/03-05-2026JBECP - JRU ChapterGit an_8229133128241184411.Showcase Image.114250.png
26,5/9/2026,Data Engineering Pilipinas,Organizer_Images/Data Engineering Pilipinas.Logo.123413.png,AI Study Group 2026,Online,De-mystifying PyTorch for ASICs: When (and Why) To Move Your Development To AI Accelerators,Intermediate - 200,90,20,Community: De-mystifying PyTorch for ASICs,,,